Name,NS,EW
3036,16,20
3037,17,20
3038,18,20
3039,19,20
3040,20,20
3041,1,21
3042,2,21
3043,3,21
3044,4,21
3045,5,21
3046,6,21
3047,7,21
3048,8,21
3049,9,21
3050,10,21
3051,11,21
3052,12,21
3053,13,21
3054,14,21
3055,15,21
3056,16,21
3057,17,21
3058,18,21
3059,19,21
3060,20,21
3061,1,22
3062,2,22
3063,3,22
3064,4,22
3065,5,22
3066,6,22
3067,7,22
3068,8,22
3069,9,22
3070,10,22
3071,11,22
3072,12,22
3073,13,22
3074,14,22
3075,15,22
3076,16,22
3077,17,22
3078,18,22
3079,19,22
3080,20,22
3081,1,23
3082,2,23
3083,3,23
3084,4,23
3085,5,23
3086,6,23
3087,7,23
3088,8,23
3089,9,23
3090,10,23
3091,11,23
3092,12,23
3093,13,23
3094,14,23
3095,15,23
3096,16,23
3097,17,23
3098,18,23
3099,19,23
3100,20,23
3101,1,24
3102,2,24
3103,3,24
3104,4,24
3105,5,24
3106,6,24
3107,7,24
3108,8,24
3109,9,24
3110,10,24
3111,11,24
3112,12,24
3113,13,24
3114,14,24
3115,15,24
3116,16,24
3117,17,24
3118,18,24
3119,19,24
3120,20,24
3121,1,25
3122,2,25
3123,3,25
3124,4,25
3125,5,25
3126,6,25
3127,7,25
3128,8,25
3129,9,25
3130,10,25
3131,11,25
3132,12,25
3133,13,25
3134,14,25
3135,15,25
3136,16,25
3137,17,25
3138,18,25
3139,19,25
3140,20,25
3141,1,26
3142,2,26
3143,3,26
3144,4,26
3145,5,26
3146,6,26
3147,7,26
3148,8,26
3149,9,26
3150,10,26
3151,11,26
3152,12,26
3153,13,26
3154,14,26
3155,15,26
3156,16,26
3157,17,26
3158,18,26
3159,19,26
3160,20,26
3161,1,27
3162,2,27
3163,3,27
3164,4,27
3165,5,27
3166,6,27
3167,7,27
3168,8,27
3169,9,27
3170,10,27
3171,11,27
3172,12,27
3173,13,27
3174,14,27
3175,15,27
3176,16,27
3177,17,27
3178,18,27
3179,19,27
3180,20,27
3181,1,28
3182,2,28
3183,3,28
3184,4,28
3185,5,28
3186,6,28
3187,7,28
3188,8,28
3189,9,28
3190,10,28
3191,11,28
3192,12,28
3193,13,28
3194,14,28
3195,15,28
3196,16,28
3197,17,28
3198,18,28
3199,19,28
3200,20,28
3201,1,29
3202,2,29
3203,3,29
3204,4,29
3205,5,29
3206,6,29
3207,7,29
3208,8,29
3209,9,29
3210,10,29
3211,11,29
3212,12,29
3213,13,29
3214,14,29
3215,15,29
3216,16,29
3217,17,29
3218,18,29
3219,19,29
3220,20,29
3221,1,30
3222,2,30
3223,3,30
3224,4,30
3225,5,30
3226,6,30
3227,7,30
3228,8,30
3229,9,30
3230,10,30
3231,11,30
3232,12,30
3233,13,30
3234,14,30
3235,15,30
3236,16,30
3237,17,30
3238,18,30
3239,19,30
3240,20,30
3241,1,31
3242,2,31
3243,3,31
3244,4,31
3245,5,31
3246,6,31
3247,7,31
3248,8,31
3249,9,31
3250,10,31
3251,11,31
3252,12,31
3253,13,31
3254,14,31
3255,15,31
3256,16,31
3257,17,31
3258,18,31
3259,19,31
3260,20,31
3261,1,32
3262,2,32
3263,3,32
3264,4,32
3265,5,32
3266,6,32
3267,7,32
3268,8,32
3269,9,32
3270,10,32
3271,11,32
3272,12,32
3273,13,32
3274,14,32
3275,15,32
3276,16,32
3277,17,32
3278,18,32
3279,19,32
3280,20,32
3281,1,33
3282,2,33
3283,3,33
3284,4,33
3285,5,33
3286,6,33
3287,7,33
3288,8,33
3289,9,33
3290,10,33
3291,11,33
3292,12,33
3293,13,33
3294,14,33
3295,15,33
3296,16,33
3297,17,33
3298,18,33
3299,19,33
3300,20,33
3301,1,34
3302,2,34
3303,3,34
3304,4,34
3305,5,34
3306,6,34
3307,7,34
3308,8,34
3309,9,34
3310,10,34
3311,11,34
3312,12,34
3313,13,34
3314,14,34
3315,15,34
3316,16,34
3317,17,34
3318,18,34
3319,19,34
3320,20,34
3321,1,35
3322,2,35
3323,3,35
3324,4,35
3325,5,35
3326,6,35
3327,7,35
3328,8,35
3329,9,35
3330,10,35
3331,11,35
3332,12,35
3333,13,35
3334,14,35
3335,15,35
3336,16,35
3337,17,35
3338,18,35
3339,19,35
3340,20,35
3341,1,36
3342,2,36
3343,3,36
3344,4,36
3345,5,36
3346,6,36
3347,7,36
3348,8,36
3349,9,36
3350,10,36
3351,11,36
3352,12,36
3353,13,36
3354,14,36
3355,15,36
3356,16,36
3357,17,36
3358,18,36
3359,19,36
3360,20,36
3361,1,37
3362,2,37
3363,3,37
3364,4,37
3365,5,37
3366,6,37
3367,7,37
3368,8,37
3369,9,37
3370,10,37
3371,11,37
3372,12,37
3373,13,37
3374,14,37
3375,15,37
3376,16,37
3377,17,37
3378,18,37
3379,19,37
3380,20,37
3381,1,38
3382,2,38
3383,3,38
3384,4,38
3385,5,38
3386,6,38
3387,7,38
3388,8,38
3389,9,38
3390,10,38
3391,11,38
3392,12,38
3393,13,38
3394,14,38
3395,15,38
3396,16,38
3397,17,38
3398,18,38
3399,19,38
3400,20,38
3401,1,39
3402,2,39
3403,3,39
3404,4,39
3405,5,39
3406,6,39
3407,7,39
3408,8,39
3409,9,39
3410,10,39
3411,11,39
3412,12,39
3413,13,39
3414,14,39
3415,15,39
3416,16,39
3417,17,39
3418,18,39
3419,19,39
3420,20,39
3421,1,40
3422,2,40
3423,3,40
3424,4,40
3425,5,40
3426,6,40
3427,7,40
3428,8,40
3429,9,40
3430,10,40
3431,11,40
3432,12,40
3433,13,40
3434,14,40
3435,15,40
3436,16,40
3437,17,40
3438,18,40
3439,19,40
3440,20,40
3441,1,41
3442,2,41
3443,3,41
3444,4,41
3445,5,41
3446,6,41
3447,7,41
3448,8,41
3449,9,41
3450,10,41
3451,11,41
3452,12,41
3453,13,41
3454,14,41
3455,15,41
3456,16,41
3457,17,41
3458,18,41
3459,19,41
3460,20,41
3461,1,42
3462,2,42
3463,3,42
3464,4,42
3465,5,42
3466,6,42
3467,7,42
3468,8,42
3469,9,42
3470,10,42
3471,11,42
3472,12,42
3473,13,42
3474,14,42
3475,15,42
3476,16,42
3477,17,42
3478,18,42
3479,19,42
3480,20,42
3481,1,43
3482,2,43
3483,3,43
3484,4,43
3485,5,43
3486,6,43
3487,7,43
3488,8,43
3489,9,43
3490,10,43
3491,11,43
3492,12,43
3493,13,43
3494,14,43
3495,15,43
3496,16,43
3497,17,43
3498,18,43
3499,19,43
3500,20,43
3501,1,44
3502,2,44
3503,3,44
3504,4,44
3505,5,44
3506,6,44
3507,7,44
3508,8,44
3509,9,44
3510,10,44
3511,11,44
3512,12,44
3513,13,44
3514,14,44
3515,15,44
3516,16,44
3517,17,44
3518,18,44
3519,19,44
3520,20,44
3521,1,45
3522,2,45
3523,3,45
3524,4,45
3525,5,45
3526,6,45
3527,7,45
3528,8,45
3529,9,45
3530,10,45
3531,11,45
3532,12,45
3533,13,45
3534,14,45
3535,15,45
3536,16,45
3537,17,45
3538,18,45
3539,19,45
3540,20,45
3541,1,46
3542,2,46
3543,3,46
3544,4,46
3545,5,46
3546,6,46
3547,7,46
3548,8,46
3549,9,46
3550,10,46
3551,11,46
3552,12,46
3553,13,46
3554,14,46
3555,15,46
3556,16,46
3557,17,46
3558,18,46
3559,19,46
3560,20,46
3561,1,47
3562,2,47
3563,3,47
3564,4,47
3565,5,47
3566,6,47
3567,7,47
3568,8,47
3569,9,47
3570,10,47
3571,11,47
3572,12,47
3573,13,47
3574,14,47
3575,15,47
3576,16,47
3577,17,47
3578,18,47
3579,19,47
3580,20,47
3581,1,48
3582,2,48
3583,3,48
3584,4,48
3585,5,48
3586,6,48
3587,7,48
3588,8,48
3589,9,48
3590,10,48
3591,11,48
3592,12,48
3593,13,48
3594,14,48
3595,15,48
3596,16,48
3597,17,48
3598,18,48
3599,19,48
3600,20,48
